state,permit,handgun,long_gun,other,year
Kansas,1748.0,4903.0,5614.0,371.0,2016
Kentucky,276744.0,8917.0,8172.0,257.0,2016
Louisiana,2914.0,12875.0,13747.0,768.0,2016
Maine,660.0,3841.0,5203.0,222.0,2016
Mariana Islands,0.0,0.0,1.0,0.0,2016
Maryland,2659.0,3626.0,5428.0,135.0,2016
Massachusetts,8095.0,5584.0,3210.0,327.0,2016
Michigan,15152.0,10056.0,11311.0,477.0,2016
Minnesota,30783.0,9548.0,16213.0,695.0,2016
Mississippi,2554.0,6904.0,6592.0,276.0,2016
Missouri,2907.0,17808.0,15528.0,1323.0,2016
Montana,1355.0,2702.0,5404.0,167.0,2016
Nebraska,3682.0,104.0,2144.0,19.0,2016
Nevada,2386.0,4281.0,2764.0,262.0,2016
New Hampshire,4131.0,5100.0,3766.0,184.0,2016
New Jersey,0.0,5249.0,3864.0,196.0,2016
New Mexico,927.0,4793.0,4277.0,368.0,2016
New York,4362.0,9700.0,17804.0,884.0,2016
North Carolina,25994.0,1068.0,14018.0,722.0,2016
North Dakota,819.0,1273.0,3381.0,99.0,2016
Ohio,11166.0,24297.0,18038.0,1573.0,2016
Oklahoma,0.0,9638.0,10003.0,860.0,2016
Oregon,114.0,13325.0,13046.0,0.0,2016
Pennsylvania,26936.0,46101.0,12697.0,31.0,2016
Puerto Rico,0.0,1110.0,213.0,28.0,2016
Rhode Island,0.0,1031.0,767.0,62.0,2016
South Carolina,10337.0,8725.0,7088.0,483.0,2016
South Dakota,1335.0,2530.0,4663.0,178.0,2016
Tennessee,11512.0,20721.0,15120.0,0.0,2016
Texas,29142.0,37858.0,42308.0,2888.0,2016
Utah,11262.0,2918.0,4440.0,278.0,2016
Vermont,0.0,1233.0,1701.0,96.0,2016
Virgin Islands,42.0,25.0,7.0,0.0,2016
Virginia,804.0,20325.0,16687.0,954.0,2016
Washington,12021.0,15261.0,13621.0,2203.0,2016
West Virginia,1686.0,6122.0,6495.0,256.0,2016
Wisconsin,30268.0,13271.0,14796.0,691.0,2016
Wyoming,699.0,1521.0,2207.0,90.0,2016
Alabama,22987.0,8243.0,7808.0,352.0,2016
Alaska,183.0,2725.0,3484.0,183.0,2016
Arizona,8752.0,12069.0,8601.0,1084.0,2016
Arkansas,5990.0,5666.0,6108.0,207.0,2016
California,75535.0,43344.0,43552.0,13186.0,2016
Colorado,6238.0,18116.0,14054.0,1204.0,2016
Connecticut,13217.0,9929.0,3941.0,230.0,2016
Delaware,705.0,1662.0,1562.0,96.0,2016
District of Columbia,2.0,56.0,3.0,0.0,2016
Florida,31652.0,49867.0,23359.0,3572.0,2016
Georgia,18136.0,12627.0,9187.0,556.0,2016
Guam,0.0,95.0,54.0,16.0,2016
Hawaii,1298.0,0.0,0.0,0.0,2016
Idaho,2919.0,3194.0,4214.0,177.0,2016
Illinois,17735.0,60745.0,30602.0,0.0,2016
Indiana,44252.0,18906.0,13606.0,1238.0,2016
Iowa,9861.0,182.0,2345.0,22.0,2016
Kansas,1581.0,4987.0,5437.0,404.0,2016
Kentucky,9579.0,8842.0,7187.0,281.0,2016
Louisiana,3231.0,13082.0,10527.0,971.0,2016
Maine,615.0,3294.0,3546.0,239.0,2016
Mariana Islands,0.0,0.0,2.0,1.0,2016
Maryland,2761.0,4249.0,5109.0,89.0,2016
Massachusetts,8977.0,5601.0,2915.0,340.0,2016
Michigan,16743.0,10650.0,9117.0,458.0,2016
Minnesota,28620.0,9391.0,11884.0,694.0,2016
Mississippi,2524.0,11193.0,9085.0,412.0,2016
Missouri,5318.0,18394.0,15365.0,1418.0,2016
Montana,1483.0,2882.0,4487.0,162.0,2016
Nebraska,4257.0,126.0,1805.0,19.0,2016
Nevada,2256.0,4676.0,2629.0,246.0,2016
New Hampshire,3629.0,4732.0,3421.0,182.0,2016
New Jersey,0.0,5541.0,3962.0,225.0,2016
New Mexico,1141.0,5170.0,4224.0,316.0,2016
